"Mes","Severidad 1","Severidad 2","Severidad 3","Severidad 4"
"01","114","627020","105637","19175"
"02","391","540220","101895","16478"
"03","4686","432299","101530","16080"
"04","10860","455453","104509","16478"
"05","15584","420480","105386","16726"
"06","14759","422511","116330","17773"
"07","8120","386495","102766","14954"
"08","9715","453588","120957","15406"
"09","2763","522410","109737","16471"
"10","129","546603","112097","16301"
"11","140","631280","110692","18053"
"12","105","718622","107801","20815"
