"Var1","Freq"
"AL",100126
"AR",21655
"AZ",164367
"CA",1666874
"CO",86593
"CT",68514
"DC",17935
"DE",13943
"FL",857949
"GA",160777
"IA",25837
"ID",11106
"IL",164517
"IN",65731
"KS",20039
"KY",32180
"LA",146603
"MA",61868
"MD",137247
"ME",2698
"MI",157222
"MN",183135
"MO",74937
"MS",14905
"MT",26342
"NC",329066
"ND",3259
"NE",28781
"NH",10213
"NJ",135998
"NM",10214
"NV",20506
"NY",337140
"OH",113097
"OK",83052
"OR",173729
"PA",286015
"RI",16922
"SC",374023
"SD",289
"TN",164918
"TX",569013
"UT",94820
"VA",291875
"VT",926
"WA",106234
"WI",32642
"WV",12590
"WY",3339
