"Var1","Freq","lon","lat"
"Tracy",9958,-121.299767681323,37.7796419206132
"Albany",10005,-86.1194905531454,42.8186220467626
"West Palm Beach",10033,-80.0996299420112,26.7109068156991
"Hollywood",10137,-80.200161783435,26.0575444287512
"Baldwin Park",10151,-117.977900785955,34.0887633873109
"Pasadena",10303,-114.250291752824,33.8021436430256
"Glendale",10599,-114.787977846916,34.1359718958225
"Montgomery",10987,-85.9018623580591,32.8918011961022
"Stockton",11208,-121.036868068673,38.0121017835341
"Cleveland",11305,-82.0903903872355,40.8774977977127
"Antioch",11696,-93.2301462596208,36.9696362394405
"Madison",11802,-87.0845887347722,37.3451464540274
"Norfolk",11932,-76.2424483960322,36.9078138082694
"Anderson",11952,-85.7367244589259,35.1392660369771
"York",12316,-77.2474980555654,39.5148143967963
"Hayward",12341,-121.901177474309,37.6918790583651
"Augusta",12353,-82.0055243850597,33.5952200522926
"Milwaukee",12403,-87.9725211964436,43.034839955572
"Lafayette",12894,-96.502538181616,31.7355293284533
"Pensacola",12912,-87.2634411659256,30.4725789251156
"Pittsburgh",13354,-79.9771787259466,40.4466479400295
"Saint Petersburg",13642,-82.6761912874267,27.8027394646936
"Newark",13734,-84.5624733621728,39.903730073741
"Cincinnati",13739,-84.4791657758754,39.1857483239009
"Kissimmee",14858,-81.4787838943768,28.2949560033822
"Arlington",14912,-91.1070695802769,37.5813390305665
"Shreveport",15023,-93.7708001438208,32.4644519848181
"Bradenton",15218,-82.529574996868,27.4551388646188
"Spartanburg",15444,-81.9587248518084,34.9651461335027
"Sarasota",15696,-82.4893712200303,27.32014096737
"Whittier",15844,-117.858681990297,33.9933936647404
"El Paso",15945,-106.347426144204,31.7750120980131
"Lexington",16167,-81.8085599086934,36.1129646190892
"Fresno",16334,-119.76853175722,36.74141348837
"Memphis",16391,-89.8335643925867,35.1973206257651
"Chattanooga",16531,-85.2506897384994,35.0349181718364
"Louisville",16624,-85.9797047984663,38.2268396618967
"Springfield",16671,-88.7189017222888,38.7065778263724
"Birmingham",16726,-86.7754956820455,33.4962175599517
"Saint Louis",16864,-90.3255925045446,38.6281720852064
"San Francisco",17192,-122.407237159491,37.7650060366121
"Fort Myers",18208,-81.8306652162014,26.5627992041544
"Fort Worth",18737,-97.305492257491,32.7538714215068
"Ontario",18872,-117.519002821922,34.6316335318779
"Lancaster",19548,-84.463020009163,38.1227493181656
"Philadelphia",19584,-75.1725084478908,39.9683093536903
"Washington",19723,-77.8836569360723,38.9279578618176
"Salt Lake City",20008,-111.899017369135,40.7089855370358
"Hialeah",20228,-80.3237490867709,25.9052898737539
"Long Beach",20339,-117.990209299239,33.8397614103158
"Flint",20340,-83.7121942052458,43.0094377542068
"Bakersfield",20349,-119.026219475318,35.3481368181294
"Anaheim",20356,-117.847339900008,33.8477552134685
"Corona",20400,-112.545022595947,34.6477673983217
"San Bernardino",20934,-117.34317369499,34.1733100633715
"New York",21277,-73.956033028743,40.7911771958198
"Columbus",21409,-83.6566875441718,39.8118769495133
"Omaha",21525,-96.0353564197892,41.2406708568878
"Brooklyn",21860,-74.1630057200469,40.6133014480785
"Oakland",23879,-121.649386718712,38.003938096815
"Detroit",23983,-83.7695365557711,42.4111746006554
"Grand Rapids",24029,-85.7601231861834,43.0096893389856
"Dayton",24310,-85.4483410112461,39.8755956443127
"Fort Lauderdale",25750,-80.2079262310954,26.1259767930668
"Rochester",26224,-78.8098597266542,43.2326000663121
"Riverside",26241,-116.119754302707,34.1969907148995
"New Orleans",26552,-90.0597208985121,29.9758092792014
"Bronx",26623,-73.887782757675,40.8422110054976
"Tulsa",28296,-95.9196325913142,36.1122481736442
"Kansas City",28765,-94.5795833353214,39.0858961103487
"Denver",29758,-104.139101158876,39.7590685135886
"Tampa",30566,-82.4454996040618,27.9975834825221
"Chicago",31061,-87.672698863106,41.8529656406673
"Indianapolis",32642,-86.1449856424145,39.7940346984642
"San Jose",33286,-121.882916452324,37.3278718088631
"Portland",34418,-121.869647334443,45.4394178965086
"Saint Paul",36019,-93.2261413345411,44.9703319223074
"Seattle",36169,-122.321329222353,47.6036031350012
"Greenville",37105,-82.5829857716522,34.8827931917439
"Columbia",37302,-81.0137719670262,34.5043482200238
"San Antonio",37427,-98.2374440147107,29.4524971977277
"Tucson",38266,-110.943464435538,32.2338392979863
"Jacksonville",41475,-82.0823969525673,30.4713769552568
"Oklahoma City",46092,-97.5500597380032,35.4784781727789
"Richmond",47199,-82.7844077316965,37.6257740584884
"Minneapolis",49933,-93.3065927277627,44.9678674282843
"Phoenix",52222,-112.094222230774,33.5546760034477
"San Diego",52745,-117.142228203363,32.797006581606
"Sacramento",63516,-121.432210667923,38.572561898029
"Atlanta",65004,-84.3967298613184,33.7898717442516
"Baton Rouge",70048,-91.1131379204093,30.4383046297831
"Nashville",71731,-86.7492355655813,36.1438127089086
"Raleigh",84142,-78.6404260945728,35.8157569272374
"Austin",94617,-97.7135281852489,30.3827066199604
"Orlando",107454,-81.3882776996586,28.4982368040555
"Dallas",127678,-96.8578331486062,32.8505535149938
"Charlotte",136376,-80.8408944620065,35.2282062663742
"Los Angeles",150611,-118.275623157252,34.0302934025581
"Houston",167338,-95.4176988340793,29.7714446182792
"Miami",181679,-80.3228562594028,25.7853016174313
